n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7065426882277572,0.06828661217815646
20,10,1,1,1,0.1,0.6382560760496008,0.7335359154346527,0.09527983938505191
30,10,1,1,1,0.1,0.6382560760496008,0.7222313775428308,0.08397530149323007
40,10,1,1,1,0.1,0.6382560760496008,0.7448962060003698,0.10664012995076899
50,10,1,1,1,0.1,0.6382560760496008,0.6834738065418768,0.045217730492276065
60,10,1,1,1,0.1,0.6382560760496008,0.7401565628210969,0.1019004867714961
70,10,1,1,1,0.1,0.6382560760496008,0.7148945237587897,0.07663844770918893
80,10,1,1,1,0.1,0.6382560760496008,0.7295060183218661,0.09124994227226535
90,10,1,1,1,0.1,0.6382560760496008,0.7535900645422349,0.1153339884926341
100,10,1,1,1,0.1,0.6382560760496008,0.7231267022141588,0.08487062616455798
10,10,1,1,1,0.1,0.6382560760496008,0.7254370844619551,0.08718100841235432
10,20,1,1,1,0.1,0.6382560760496008,0.7419911613527304,0.10373508530312958
10,30,1,1,1,0.1,0.6382560760496008,0.7219504347071363,0.0836943586575355
10,40,1,1,1,0.1,0.6382560760496008,0.7381089326524587,0.09985285660285792
10,50,1,1,1,0.1,0.6382560760496008,0.739319923682101,0.1010638476325002
10,60,1,1,1,0.1,0.6382560760496008,0.7237282839781589,0.08547220792855814
10,70,1,1,1,0.1,0.6382560760496008,0.7449324512271379,0.10667637517753714
10,80,1,1,1,0.1,0.6382560760496008,0.6949696875286746,0.05671361147907383
10,90,1,1,1,0.1,0.6382560760496008,0.7308939939108774,0.09263791786127662
10,100,1,1,1,0.1,0.6382560760496008,0.7372017341852897,0.0989456581356889
10,10,1,1,1,0.1,0.6382560760496008,0.7044315367680701,0.06617546071846936
10,10,2,1,1,0.1,0.6382560760496008,0.7374810686642579,0.09922499261465711
10,10,3,1,1,0.1,0.6382560760496008,0.6889862567542239,0.050730180704623096
10,10,4,1,1,0.1,0.6382560760496008,0.7037557532330233,0.06549967718342253
10,10,5,1,1,0.1,0.6382560760496008,0.6931469383494969,0.05489086229989615
10,10,1,1,1,0.1,0.6382560760496008,0.7127506232980396,0.07449454724843885
10,10,1,2,1,0.1,0.6382560760496008,0.707866912527085,0.06961083647748423
10,10,1,3,1,0.1,0.6382560760496008,0.7057031216063314,0.06744704555673064
10,10,1,4,1,0.1,0.6382560760496008,0.7154184574430253,0.07716238139342457
10,10,1,5,1,0.1,0.6382560760496008,0.7007196137769096,0.06246353772730884
10,10,1,1,1,0.1,0.6382560760496008,0.7175748683908341,0.07931879234123329
10,10,1,1,2,0.1,0.6382560760496008,0.7353645056159774,0.09710842956637666
10,10,1,1,3,0.1,0.6382560760496008,0.7358007724569343,0.09754469640733354
10,10,1,1,4,0.1,0.6382560760496008,0.7156585437382188,0.07740246768861803
10,10,1,1,5,0.1,0.6382560760496008,0.722448674785769,0.08419259873616824
10,10,1,1,6,0.1,0.6382560760496008,0.7227350942371386,0.08447901818753778
10,10,1,1,7,0.1,0.6382560760496008,0.7340702061814905,0.09581413013188977
10,10,1,1,8,0.1,0.6382560760496008,0.7178148839690583,0.07955880791945757
10,10,1,1,9,0.1,0.6382560760496008,0.7270154832915374,0.08875940724193665
10,10,1,1,10,0.1,0.6382560760496008,0.7163012025494642,0.0780451264998634
10,10,1,1,1,0.1,0.6382560760496008,0.7382669078041726,0.10001083175457182
10,10,1,1,1,0.2,0.6382560760496008,0.7067014903975017,0.06844541434790097
10,10,1,1,1,0.3,0.6382560760496008,0.7160526621983856,0.07779658614878482
10,10,1,1,1,0.4,0.6382560760496008,0.7338651577626585,0.09560908171305771
10,10,1,1,1,0.5,0.6382560760496008,0.7383177359595482,0.10006165990994742
10,10,1,1,1,0.6,0.6382560760496008,0.749698017989578,0.11144194193997725
10,10,1,1,1,0.7,0.6382560760496008,0.7405681491364453,0.10231207308684453
10,10,1,1,1,0.8,0.6382560760496008,0.7425865481260427,0.10433047207644197
10,10,1,1,1,0.9,0.6382560760496008,0.7297751541008466,0.09151907805124582
