n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.716241021286998,0.07798494523739719
20,10,1,1,1,0.1,0.6382560760496008,0.708231991158608,0.06997591510900725
30,10,1,1,1,0.1,0.6382560760496008,0.7140655416837381,0.07580946563413737
40,10,1,1,1,0.1,0.6382560760496008,0.7117971143126197,0.07354103826301894
50,10,1,1,1,0.1,0.6382560760496008,0.7369863567639943,0.09873028071439349
60,10,1,1,1,0.1,0.6382560760496008,0.7398308207960886,0.10157474474648787
70,10,1,1,1,0.1,0.6382560760496008,0.7351876483044084,0.09693157225480764
80,10,1,1,1,0.1,0.6382560760496008,0.7193178823954689,0.08106180634586813
90,10,1,1,1,0.1,0.6382560760496008,0.7115577801463298,0.07330170409672898
100,10,1,1,1,0.1,0.6382560760496008,0.7259847210758548,0.08772864502625399
10,10,1,1,1,0.1,0.6382560760496008,0.723135843775975,0.08487976772637418
10,20,1,1,1,0.1,0.6382560760496008,0.7505543408133561,0.11229826476375537
10,30,1,1,1,0.1,0.6382560760496008,0.7555015276140473,0.11724545156444655
10,40,1,1,1,0.1,0.6382560760496008,0.7433849361339191,0.10512886008431832
10,50,1,1,1,0.1,0.6382560760496008,0.724502267854831,0.08624619180523019
10,60,1,1,1,0.1,0.6382560760496008,0.6921967523519015,0.053940676302300705
10,70,1,1,1,0.1,0.6382560760496008,0.732776995907213,0.09452091985761224
10,80,1,1,1,0.1,0.6382560760496008,0.7105184895748538,0.07226241352525298
10,90,1,1,1,0.1,0.6382560760496008,0.7188208021119962,0.0805647260623954
10,100,1,1,1,0.1,0.6382560760496008,0.7197685557563435,0.08151247970674269
10,10,1,1,1,0.1,0.6382560760496008,0.7263518047853494,0.08809572873574867
10,10,2,1,1,0.1,0.6382560760496008,0.7445026224692002,0.10624654641959941
10,10,3,1,1,0.1,0.6382560760496008,0.6909082614051363,0.05265218535553551
10,10,4,1,1,0.1,0.6382560760496008,0.6707546717327066,0.03249859568310587
10,10,5,1,1,0.1,0.6382560760496008,0.6824431546813339,0.0441870786317331
10,10,1,1,1,0.1,0.6382560760496008,0.6819872424890636,0.04373116643946284
10,10,1,2,1,0.1,0.6382560760496008,0.7195979686390093,0.0813418925894085
10,10,1,3,1,0.1,0.6382560760496008,0.6912583603953945,0.05300228434579368
10,10,1,4,1,0.1,0.6382560760496008,0.7130878636603212,0.0748317876107204
10,10,1,5,1,0.1,0.6382560760496008,0.7071154027945107,0.06885932674490991
10,10,1,1,1,0.1,0.6382560760496008,0.7193475228654479,0.08109144681584712
10,10,1,1,2,0.1,0.6382560760496008,0.7407096886645295,0.10245361261492869
10,10,1,1,3,0.1,0.6382560760496008,0.7452504411742307,0.1069943651246299
10,10,1,1,4,0.1,0.6382560760496008,0.7045042611868022,0.06624818513720143
10,10,1,1,5,0.1,0.6382560760496008,0.7102384923111552,0.07198241626155444
10,10,1,1,6,0.1,0.6382560760496008,0.7365102398853474,0.09825416383574659
10,10,1,1,7,0.1,0.6382560760496008,0.7285254917315296,0.09026941568192881
10,10,1,1,8,0.1,0.6382560760496008,0.7057834720995523,0.0675273960499515
10,10,1,1,9,0.1,0.6382560760496008,0.7388170215096573,0.10056094546005656
10,10,1,1,10,0.1,0.6382560760496008,0.7140382787262984,0.07578220267669766
10,10,1,1,1,0.1,0.6382560760496008,0.7247082349509268,0.08645215890132607
10,10,1,1,1,0.2,0.6382560760496008,0.7195634793562466,0.08130740330664588
10,10,1,1,1,0.3,0.6382560760496008,0.7159117524094288,0.07765567635982806
10,10,1,1,1,0.4,0.6382560760496008,0.7141999875696261,0.07594391152002533
10,10,1,1,1,0.5,0.6382560760496008,0.7172457144579325,0.07898963840833173
10,10,1,1,1,0.6,0.6382560760496008,0.7348518164324722,0.09659574038287144
10,10,1,1,1,0.7,0.6382560760496008,0.7395210925917606,0.1012650165421598
10,10,1,1,1,0.8,0.6382560760496008,0.7228000343822112,0.08454395833261041
10,10,1,1,1,0.9,0.6382560760496008,0.7504047813094268,0.11214870525982601
