n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7032910885555373,0.06503501250593657
20,10,1,1,1,0.1,0.6382560760496008,0.7379138667169736,0.09965779066737279
30,10,1,1,1,0.1,0.6382560760496008,0.7192838829652615,0.0810278069156607
40,10,1,1,1,0.1,0.6382560760496008,0.7225270063910412,0.0842709303414404
50,10,1,1,1,0.1,0.6382560760496008,0.7237125881964763,0.08545651214687555
60,10,1,1,1,0.1,0.6382560760496008,0.7299775947745302,0.0917215187249294
70,10,1,1,1,0.1,0.6382560760496008,0.7134755333564495,0.07521945730684876
80,10,1,1,1,0.1,0.6382560760496008,0.7388312208427592,0.10057514479315843
90,10,1,1,1,0.1,0.6382560760496008,0.7289316833125667,0.09067560726296597
100,10,1,1,1,0.1,0.6382560760496008,0.7345496181556974,0.09629354210609664
10,10,1,1,1,0.1,0.6382560760496008,0.7021615276223196,0.06390545157271887
10,20,1,1,1,0.1,0.6382560760496008,0.6735041888525495,0.035248112802948706
10,30,1,1,1,0.1,0.6382560760496008,0.7365623154164206,0.09830623936681981
10,40,1,1,1,0.1,0.6382560760496008,0.734727909963454,0.09647183391385328
10,50,1,1,1,0.1,0.6382560760496008,0.7141695825062528,0.07591350645665207
10,60,1,1,1,0.1,0.6382560760496008,0.7020270371712849,0.06377096112168412
10,70,1,1,1,0.1,0.6382560760496008,0.7130605838088373,0.07480450775923653
10,80,1,1,1,0.1,0.6382560760496008,0.7019584428498882,0.0637023668002874
10,90,1,1,1,0.1,0.6382560760496008,0.721323305107032,0.08306722905743125
10,100,1,1,1,0.1,0.6382560760496008,0.7124949275950423,0.07423885154544152
10,10,1,1,1,0.1,0.6382560760496008,0.7327042150922155,0.09444813904261473
10,10,2,1,1,0.1,0.6382560760496008,0.7179275829034797,0.07967150685387892
10,10,3,1,1,0.1,0.6382560760496008,0.6948125600038153,0.05655648395421453
10,10,4,1,1,0.1,0.6382560760496008,0.7209610295395961,0.08270495348999529
10,10,5,1,1,0.1,0.6382560760496008,0.6815933986627674,0.043337322613166585
10,10,1,1,1,0.1,0.6382560760496008,0.7171490228418431,0.07889294679224235
10,10,1,2,1,0.1,0.6382560760496008,0.7124859981970422,0.0742299221474414
10,10,1,3,1,0.1,0.6382560760496008,0.714696651100789,0.07644057505118818
10,10,1,4,1,0.1,0.6382560760496008,0.7090555431746437,0.07079946712504293
10,10,1,5,1,0.1,0.6382560760496008,0.6972189902493436,0.058962914199742866
10,10,1,1,1,0.1,0.6382560760496008,0.75279704695839,0.11454097090878923
10,10,1,1,2,0.1,0.6382560760496008,0.6983947388578244,0.060138662808223664
10,10,1,1,3,0.1,0.6382560760496008,0.7171637289154443,0.07890765286584356
10,10,1,1,4,0.1,0.6382560760496008,0.7348551823081766,0.09659910625857582
10,10,1,1,5,0.1,0.6382560760496008,0.7104214372060581,0.07216536115645733
10,10,1,1,6,0.1,0.6382560760496008,0.7173464272344972,0.07909035118489638
10,10,1,1,7,0.1,0.6382560760496008,0.7493325839539131,0.11107650790431234
10,10,1,1,8,0.1,0.6382560760496008,0.7160371351999645,0.07778105915036371
10,10,1,1,9,0.1,0.6382560760496008,0.7389865681368115,0.10073049208721074
10,10,1,1,10,0.1,0.6382560760496008,0.6957931240965933,0.057537048046992556
10,10,1,1,1,0.1,0.6382560760496008,0.7367399041888156,0.09848382813921486
10,10,1,1,1,0.2,0.6382560760496008,0.7070235476066311,0.06876747155703034
10,10,1,1,1,0.3,0.6382560760496008,0.7263248001362632,0.08806872408666244
10,10,1,1,1,0.4,0.6382560760496008,0.7303179363597644,0.09206186031016361
10,10,1,1,1,0.5,0.6382560760496008,0.7161942489363157,0.0779381728867149
10,10,1,1,1,0.6,0.6382560760496008,0.7313915504513686,0.09313547440176784
10,10,1,1,1,0.7,0.6382560760496008,0.7211879515615995,0.08293187551199876
10,10,1,1,1,0.8,0.6382560760496008,0.69839653513425,0.06014045908464927
10,10,1,1,1,0.9,0.6382560760496008,0.7131898670218875,0.0749337909722867
