n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7129800018086492,0.0747239257590484
20,10,1,1,1,0.1,0.6382560760496008,0.7222497336394604,0.08399365758985966
30,10,1,1,1,0.1,0.6382560760496008,0.7227292836909323,0.08447320764133148
40,10,1,1,1,0.1,0.6382560760496008,0.7106127782182862,0.0723567021686854
50,10,1,1,1,0.1,0.6382560760496008,0.7260518349025665,0.08779575885296576
60,10,1,1,1,0.1,0.6382560760496008,0.7331067111876677,0.09485063513806691
70,10,1,1,1,0.1,0.6382560760496008,0.7345469877619512,0.09629091171235038
80,10,1,1,1,0.1,0.6382560760496008,0.7295154223953373,0.09125934634573651
90,10,1,1,1,0.1,0.6382560760496008,0.7455580356658662,0.10730195961626543
100,10,1,1,1,0.1,0.6382560760496008,0.7060827022288952,0.06782662617929447
10,10,1,1,1,0.1,0.6382560760496008,0.7246037926231396,0.08634771657353879
10,20,1,1,1,0.1,0.6382560760496008,0.7110401242579811,0.07278404820838036
10,30,1,1,1,0.1,0.6382560760496008,0.7304368300338255,0.09218075398422476
10,40,1,1,1,0.1,0.6382560760496008,0.7141707552490264,0.07591467919942563
10,50,1,1,1,0.1,0.6382560760496008,0.7385310039533386,0.10027492790373782
10,60,1,1,1,0.1,0.6382560760496008,0.6883812287582777,0.0501251527086769
10,70,1,1,1,0.1,0.6382560760496008,0.7317274668744796,0.09347139082487887
10,80,1,1,1,0.1,0.6382560760496008,0.7101367452913797,0.07188066924177894
10,90,1,1,1,0.1,0.6382560760496008,0.7155161593652715,0.07726008331567069
10,100,1,1,1,0.1,0.6382560760496008,0.7368723232246476,0.0986162471750468
10,10,1,1,1,0.1,0.6382560760496008,0.749336810395216,0.11108073434561527
10,10,2,1,1,0.1,0.6382560760496008,0.7273810530048302,0.08912497695522947
10,10,3,1,1,0.1,0.6382560760496008,0.6963872365982786,0.05813116054867784
10,10,4,1,1,0.1,0.6382560760496008,0.6970183542896666,0.05876227824006586
10,10,5,1,1,0.1,0.6382560760496008,0.6988996576576944,0.06064358160809358
10,10,1,1,1,0.1,0.6382560760496008,0.7097153490436591,0.0714592729940583
10,10,1,2,1,0.1,0.6382560760496008,0.7088521901838556,0.07059611413425482
10,10,1,3,1,0.1,0.6382560760496008,0.7210180821048391,0.08276200605523831
10,10,1,4,1,0.1,0.6382560760496008,0.6940230503441704,0.05576697429456967
10,10,1,5,1,0.1,0.6382560760496008,0.7043480613652967,0.06609198531569593
10,10,1,1,1,0.1,0.6382560760496008,0.7064022231849449,0.06814614713534417
10,10,1,1,2,0.1,0.6382560760496008,0.74490257093368,0.10664649488407918
10,10,1,1,3,0.1,0.6382560760496008,0.7161980627371497,0.07794198668754893
10,10,1,1,4,0.1,0.6382560760496008,0.7398090852614445,0.10155300921184374
10,10,1,1,5,0.1,0.6382560760496008,0.729135188637018,0.09087911258741721
10,10,1,1,6,0.1,0.6382560760496008,0.712407855302029,0.07415177925242822
10,10,1,1,7,0.1,0.6382560760496008,0.7402850431787953,0.10202896712919451
10,10,1,1,8,0.1,0.6382560760496008,0.7163512086904943,0.07809513264089352
10,10,1,1,9,0.1,0.6382560760496008,0.7257279468306,0.08747187078099927
10,10,1,1,10,0.1,0.6382560760496008,0.711063425889058,0.07280734983945725
10,10,1,1,1,0.1,0.6382560760496008,0.7159027210149432,0.07764664496534246
10,10,1,1,1,0.2,0.6382560760496008,0.7324035931673003,0.09414751711769953
10,10,1,1,1,0.3,0.6382560760496008,0.7117703048960521,0.07351422884645131
10,10,1,1,1,0.4,0.6382560760496008,0.7402409365739804,0.1019848605243796
10,10,1,1,1,0.5,0.6382560760496008,0.7233269515768098,0.08507087552720904
10,10,1,1,1,0.6,0.6382560760496008,0.7412954062645956,0.10303933021499478
10,10,1,1,1,0.7,0.6382560760496008,0.7233728813930135,0.0851168053434127
10,10,1,1,1,0.8,0.6382560760496008,0.6940042975269227,0.055748221477321946
10,10,1,1,1,0.9,0.6382560760496008,0.7355894276780162,0.09733335162841539
