n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7118657273642178,0.07360965131461705
20,10,1,1,1,0.1,0.6382560760496008,0.7331574470539048,0.09490137100430407
30,10,1,1,1,0.1,0.6382560760496008,0.7259591689626798,0.08770309291307898
40,10,1,1,1,0.1,0.6382560760496008,0.7252948851256035,0.0870388090760027
50,10,1,1,1,0.1,0.6382560760496008,0.7515422028090488,0.11328612675944805
60,10,1,1,1,0.1,0.6382560760496008,0.7184789201525603,0.08022284410295955
70,10,1,1,1,0.1,0.6382560760496008,0.745259419427845,0.10700334337824424
80,10,1,1,1,0.1,0.6382560760496008,0.7438509751042526,0.1055948990546518
90,10,1,1,1,0.1,0.6382560760496008,0.760616707182617,0.1223606311330162
100,10,1,1,1,0.1,0.6382560760496008,0.7306996413016169,0.09244356525201614
10,10,1,1,1,0.1,0.6382560760496008,0.7184673128796217,0.08021123683002096
10,20,1,1,1,0.1,0.6382560760496008,0.7092042684948352,0.07094819244523443
10,30,1,1,1,0.1,0.6382560760496008,0.7275179257458592,0.08926184969625839
10,40,1,1,1,0.1,0.6382560760496008,0.7381736028839856,0.09991752683438482
10,50,1,1,1,0.1,0.6382560760496008,0.7370221554557836,0.09876607940618287
10,60,1,1,1,0.1,0.6382560760496008,0.7332025987986516,0.0949465227490508
10,70,1,1,1,0.1,0.6382560760496008,0.7186294536549032,0.08037337760530239
10,80,1,1,1,0.1,0.6382560760496008,0.7224208177564698,0.08416474170686905
10,90,1,1,1,0.1,0.6382560760496008,0.7351663168906448,0.09691024084104405
10,100,1,1,1,0.1,0.6382560760496008,0.7227329338651174,0.08447685781551661
10,10,1,1,1,0.1,0.6382560760496008,0.7249279234640224,0.08667184741442158
10,10,2,1,1,0.1,0.6382560760496008,0.6856077803531746,0.04735170430357383
10,10,3,1,1,0.1,0.6382560760496008,0.7053147722052571,0.0670586961556563
10,10,4,1,1,0.1,0.6382560760496008,0.7085349533698382,0.07027887732023741
10,10,5,1,1,0.1,0.6382560760496008,0.719498049365006,0.08124197331540528
10,10,1,1,1,0.1,0.6382560760496008,0.7171953517912816,0.0789392757416808
10,10,1,2,1,0.1,0.6382560760496008,0.7174028138946947,0.07914673784509396
10,10,1,3,1,0.1,0.6382560760496008,0.7258891087396512,0.0876330326900504
10,10,1,4,1,0.1,0.6382560760496008,0.6931705444729462,0.054914468423345464
10,10,1,5,1,0.1,0.6382560760496008,0.7013058993395198,0.06304982328991904
10,10,1,1,1,0.1,0.6382560760496008,0.7132072589451781,0.07495118289557734
10,10,1,1,2,0.1,0.6382560760496008,0.7191255158405456,0.08086943979094485
10,10,1,1,3,0.1,0.6382560760496008,0.7075224031029455,0.06926632705334468
10,10,1,1,4,0.1,0.6382560760496008,0.7118457705735552,0.07358969452395447
10,10,1,1,5,0.1,0.6382560760496008,0.7236114189315677,0.08535534288196689
10,10,1,1,6,0.1,0.6382560760496008,0.7220426128617614,0.08378653681216064
10,10,1,1,7,0.1,0.6382560760496008,0.7012392001546015,0.06298312410500073
10,10,1,1,8,0.1,0.6382560760496008,0.6970040186233901,0.05874794257378935
10,10,1,1,9,0.1,0.6382560760496008,0.6991874423292893,0.06093136627968854
10,10,1,1,10,0.1,0.6382560760496008,0.7344805980998335,0.09622452205023269
10,10,1,1,1,0.1,0.6382560760496008,0.7357769320930272,0.09752085604342642
10,10,1,1,1,0.2,0.6382560760496008,0.7212141178729374,0.08295804182333666
10,10,1,1,1,0.3,0.6382560760496008,0.6931009918109979,0.05484491576139716
10,10,1,1,1,0.4,0.6382560760496008,0.7506726669926778,0.11241659094307699
10,10,1,1,1,0.5,0.6382560760496008,0.7208809610329447,0.08262488498334397
10,10,1,1,1,0.6,0.6382560760496008,0.739962289141517,0.10170621309191619
10,10,1,1,1,0.7,0.6382560760496008,0.7196434833817467,0.08138740733214589
10,10,1,1,1,0.8,0.6382560760496008,0.6845466209982715,0.04629054494867069
10,10,1,1,1,0.9,0.6382560760496008,0.7136921734574356,0.07543609740783486
