n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7070816411071998,0.06882556505759907
20,10,1,1,1,0.1,0.6382560760496008,0.7354347580677798,0.09717868201817903
30,10,1,1,1,0.1,0.6382560760496008,0.7274365370378812,0.08918046098828047
40,10,1,1,1,0.1,0.6382560760496008,0.731137793123416,0.0928817170738152
50,10,1,1,1,0.1,0.6382560760496008,0.742721346332585,0.10446527028298425
60,10,1,1,1,0.1,0.6382560760496008,0.7117296581472315,0.07347358209763077
70,10,1,1,1,0.1,0.6382560760496008,0.7364819791487983,0.09822590309919754
80,10,1,1,1,0.1,0.6382560760496008,0.7280400679189671,0.08978399186936636
90,10,1,1,1,0.1,0.6382560760496008,0.7349830837000542,0.09672700765045339
100,10,1,1,1,0.1,0.6382560760496008,0.73268961697361,0.09443354092400924
10,10,1,1,1,0.1,0.6382560760496008,0.7232349849997488,0.08497890895014804
10,20,1,1,1,0.1,0.6382560760496008,0.7255163042908457,0.08726022824124491
10,30,1,1,1,0.1,0.6382560760496008,0.7223084846341876,0.08405240858458685
10,40,1,1,1,0.1,0.6382560760496008,0.7400412836103168,0.10178520756071607
10,50,1,1,1,0.1,0.6382560760496008,0.7348417248651455,0.09658564881554477
10,60,1,1,1,0.1,0.6382560760496008,0.7341869129678336,0.09593083691823279
10,70,1,1,1,0.1,0.6382560760496008,0.7375629071683756,0.09930683111877481
10,80,1,1,1,0.1,0.6382560760496008,0.756151964468144,0.11789588841854326
10,90,1,1,1,0.1,0.6382560760496008,0.744931252716269,0.10667517666666826
10,100,1,1,1,0.1,0.6382560760496008,0.7170511433955111,0.07879506734591035
10,10,1,1,1,0.1,0.6382560760496008,0.7298452315911539,0.09158915554155311
10,10,2,1,1,0.1,0.6382560760496008,0.719679343691076,0.08142326764147523
10,10,3,1,1,0.1,0.6382560760496008,0.7073827221008842,0.06912664605128338
10,10,4,1,1,0.1,0.6382560760496008,0.7140043404130008,0.07574826436339999
10,10,5,1,1,0.1,0.6382560760496008,0.7148477843899081,0.07659170834030737
10,10,1,1,1,0.1,0.6382560760496008,0.7328003240696324,0.09454424802003158
10,10,1,2,1,0.1,0.6382560760496008,0.7113601558345027,0.07310407978490197
10,10,1,3,1,0.1,0.6382560760496008,0.7067721558495954,0.06851607979999463
10,10,1,4,1,0.1,0.6382560760496008,0.7097328574188759,0.07147678136927516
10,10,1,5,1,0.1,0.6382560760496008,0.7031933221173556,0.06493724606775486
10,10,1,1,1,0.1,0.6382560760496008,0.7232436141531671,0.0849875381035663
10,10,1,1,2,0.1,0.6382560760496008,0.6991440228959139,0.06088794684631316
10,10,1,1,3,0.1,0.6382560760496008,0.7468165735346055,0.10856049748500474
10,10,1,1,4,0.1,0.6382560760496008,0.7092592401882537,0.07100316413865293
10,10,1,1,5,0.1,0.6382560760496008,0.7323405854926038,0.09408450944300306
10,10,1,1,6,0.1,0.6382560760496008,0.7136919849374268,0.07543590888782603
10,10,1,1,7,0.1,0.6382560760496008,0.7090405077274196,0.07078443167781878
10,10,1,1,8,0.1,0.6382560760496008,0.6995102439459303,0.06125416789632954
10,10,1,1,9,0.1,0.6382560760496008,0.7146058948489908,0.07634981879939007
10,10,1,1,10,0.1,0.6382560760496008,0.7012357852541774,0.06297970920457663
10,10,1,1,1,0.1,0.6382560760496008,0.7239767854549128,0.08572070940531207
10,10,1,1,1,0.2,0.6382560760496008,0.7358054532183692,0.09754937716876844
10,10,1,1,1,0.3,0.6382560760496008,0.7342248911891169,0.09596881513951616
10,10,1,1,1,0.4,0.6382560760496008,0.7372442778017473,0.09898820175214651
10,10,1,1,1,0.5,0.6382560760496008,0.728670007801745,0.09041393175214418
10,10,1,1,1,0.6,0.6382560760496008,0.7121414223307236,0.07388534628112287
10,10,1,1,1,0.7,0.6382560760496008,0.7187188134662038,0.08046273741660304
10,10,1,1,1,0.8,0.6382560760496008,0.7348091243823491,0.09655304833274836
10,10,1,1,1,0.9,0.6382560760496008,0.7122291706281128,0.07397309457851198
