n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7214602075389533,0.08320413148935257
20,10,1,1,1,0.1,0.6382560760496008,0.7426913336286101,0.10443525757900929
30,10,1,1,1,0.1,0.6382560760496008,0.7158302980557123,0.07757422200611153
40,10,1,1,1,0.1,0.6382560760496008,0.7162867981048059,0.07803072205520512
50,10,1,1,1,0.1,0.6382560760496008,0.7320173262959957,0.09376125024639492
60,10,1,1,1,0.1,0.6382560760496008,0.7531910002830768,0.11493492423347607
70,10,1,1,1,0.1,0.6382560760496008,0.7486294495470518,0.11037337349745102
80,10,1,1,1,0.1,0.6382560760496008,0.7367768567792307,0.09852078072962989
90,10,1,1,1,0.1,0.6382560760496008,0.706821902396167,0.06856582634656627
100,10,1,1,1,0.1,0.6382560760496008,0.7119010755775206,0.07364499952791981
10,10,1,1,1,0.1,0.6382560760496008,0.7184302836933483,0.0801742076437475
10,20,1,1,1,0.1,0.6382560760496008,0.7141208896865585,0.07586481363695774
10,30,1,1,1,0.1,0.6382560760496008,0.7156255881774483,0.07736951212784748
10,40,1,1,1,0.1,0.6382560760496008,0.7109658019402878,0.07270972589068703
10,50,1,1,1,0.1,0.6382560760496008,0.6936456904592089,0.0553896144096081
10,60,1,1,1,0.1,0.6382560760496008,0.7025105765370719,0.06425450048747117
10,70,1,1,1,0.1,0.6382560760496008,0.7374673677807027,0.09921129173110188
10,80,1,1,1,0.1,0.6382560760496008,0.7153862042724357,0.07713012822283494
10,90,1,1,1,0.1,0.6382560760496008,0.7310532815611753,0.09279720551157455
10,100,1,1,1,0.1,0.6382560760496008,0.7348083960078684,0.09655231995826763
10,10,1,1,1,0.1,0.6382560760496008,0.7151139472059114,0.0768578711563106
10,10,2,1,1,0.1,0.6382560760496008,0.6911186215302787,0.052862545480677925
10,10,3,1,1,0.1,0.6382560760496008,0.7026004686442602,0.0643443925946594
10,10,4,1,1,0.1,0.6382560760496008,0.7029919386530434,0.06473586260344266
10,10,5,1,1,0.1,0.6382560760496008,0.7076786998326429,0.06942262378304209
10,10,1,1,1,0.1,0.6382560760496008,0.7298332731495627,0.09157719709996193
10,10,1,2,1,0.1,0.6382560760496008,0.7108709628173896,0.07261488676778882
10,10,1,3,1,0.1,0.6382560760496008,0.7170914079051732,0.07883533185557245
10,10,1,4,1,0.1,0.6382560760496008,0.7049733480332164,0.06671727198361566
10,10,1,5,1,0.1,0.6382560760496008,0.7040939780665808,0.06583790201698003
10,10,1,1,1,0.1,0.6382560760496008,0.726405762261443,0.08814968621184227
10,10,1,1,2,0.1,0.6382560760496008,0.718430045293865,0.08017396924426423
10,10,1,1,3,0.1,0.6382560760496008,0.7555033253018376,0.11724724925223684
10,10,1,1,4,0.1,0.6382560760496008,0.7323541445912061,0.0940980685416053
10,10,1,1,5,0.1,0.6382560760496008,0.7221793541221665,0.08392327807256572
10,10,1,1,6,0.1,0.6382560760496008,0.7222914072229141,0.0840353311733133
10,10,1,1,7,0.1,0.6382560760496008,0.7021956356415134,0.06393955959191266
10,10,1,1,8,0.1,0.6382560760496008,0.7247659915851742,0.08650991553557341
10,10,1,1,9,0.1,0.6382560760496008,0.7418512043719869,0.10359512832238615
10,10,1,1,10,0.1,0.6382560760496008,0.7046738337245346,0.06641775767493385
10,10,1,1,1,0.1,0.6382560760496008,0.7240678699249887,0.08581179387538795
10,10,1,1,1,0.2,0.6382560760496008,0.7321839314429947,0.09392785539339388
10,10,1,1,1,0.3,0.6382560760496008,0.7306639759054565,0.09240789985585574
10,10,1,1,1,0.4,0.6382560760496008,0.7157105361829772,0.07745446013337642
10,10,1,1,1,0.5,0.6382560760496008,0.723182925619288,0.08492684956968721
10,10,1,1,1,0.6,0.6382560760496008,0.7376767853647985,0.09942070931519775
10,10,1,1,1,0.7,0.6382560760496008,0.7423185012220195,0.1040624251724187
10,10,1,1,1,0.8,0.6382560760496008,0.7555797673493088,0.11732369129970799
10,10,1,1,1,0.9,0.6382560760496008,0.7164721429395615,0.07821606688996074
