n_ants,n_iters,alpha,beta,q,rho,qwk_before,qwk_after,qwk_delta
10,10,1,1,1,0.1,0.6382560760496008,0.7220062352196359,0.08375015917003514
20,10,1,1,1,0.1,0.6382560760496008,0.7536971527275252,0.11544107667792447
30,10,1,1,1,0.1,0.6382560760496008,0.7272338965939023,0.08897782054430148
40,10,1,1,1,0.1,0.6382560760496008,0.7415647179523542,0.10330864190275346
50,10,1,1,1,0.1,0.6382560760496008,0.7052311713493163,0.06697509529971557
60,10,1,1,1,0.1,0.6382560760496008,0.7274246295682252,0.0891685535186244
70,10,1,1,1,0.1,0.6382560760496008,0.7337558831969402,0.09549980714733941
80,10,1,1,1,0.1,0.6382560760496008,0.7403658612137125,0.10210978516411173
90,10,1,1,1,0.1,0.6382560760496008,0.7453384097981455,0.1070823337485447
100,10,1,1,1,0.1,0.6382560760496008,0.7273134681909461,0.08905739214134534
10,10,1,1,1,0.1,0.6382560760496008,0.7348763022614266,0.09662022621182587
10,20,1,1,1,0.1,0.6382560760496008,0.7232595806158842,0.08500350456628347
10,30,1,1,1,0.1,0.6382560760496008,0.7271433447318767,0.08888726868227592
10,40,1,1,1,0.1,0.6382560760496008,0.7342034438220955,0.09594736777249468
10,50,1,1,1,0.1,0.6382560760496008,0.7301929690363838,0.09193689298678298
10,60,1,1,1,0.1,0.6382560760496008,0.7211363844911216,0.08288030844152083
10,70,1,1,1,0.1,0.6382560760496008,0.7269893751470469,0.0887332990974461
10,80,1,1,1,0.1,0.6382560760496008,0.7211265780407996,0.08287050199119883
10,90,1,1,1,0.1,0.6382560760496008,0.7131388572792999,0.07488278122969916
10,100,1,1,1,0.1,0.6382560760496008,0.7174305954847738,0.07917451943517306
10,10,1,1,1,0.1,0.6382560760496008,0.7292900617875406,0.09103398573793986
10,10,2,1,1,0.1,0.6382560760496008,0.7138091555276451,0.07555307947804435
10,10,3,1,1,0.1,0.6382560760496008,0.7332277299606256,0.0949716539110248
10,10,4,1,1,0.1,0.6382560760496008,0.7068993702877844,0.0686432942381836
10,10,5,1,1,0.1,0.6382560760496008,0.6906628094377862,0.05240673338818547
10,10,1,1,1,0.1,0.6382560760496008,0.7254042786379704,0.08714820258836964
10,10,1,2,1,0.1,0.6382560760496008,0.7143260878085811,0.07607001175898032
10,10,1,3,1,0.1,0.6382560760496008,0.695778249512122,0.0575221734625212
10,10,1,4,1,0.1,0.6382560760496008,0.7103572841936499,0.07210120814404908
10,10,1,5,1,0.1,0.6382560760496008,0.7000935832467395,0.061837507197138764
10,10,1,1,1,0.1,0.6382560760496008,0.7200293521106029,0.08177327606100215
10,10,1,1,2,0.1,0.6382560760496008,0.7074731484708112,0.06921707242121045
10,10,1,1,3,0.1,0.6382560760496008,0.7394177690162058,0.10116169296660504
10,10,1,1,4,0.1,0.6382560760496008,0.7371286421684717,0.09887256611887096
10,10,1,1,5,0.1,0.6382560760496008,0.7127449632489027,0.07448888719930191
10,10,1,1,6,0.1,0.6382560760496008,0.7194466943670119,0.08119061831741115
10,10,1,1,7,0.1,0.6382560760496008,0.7133780824096583,0.0751220063600575
10,10,1,1,8,0.1,0.6382560760496008,0.7539430129162069,0.11568693686660614
10,10,1,1,9,0.1,0.6382560760496008,0.7291758383556237,0.09091976230602294
10,10,1,1,10,0.1,0.6382560760496008,0.7218084357572148,0.08355235970761399
10,10,1,1,1,0.1,0.6382560760496008,0.7152620224391728,0.07700594638957203
10,10,1,1,1,0.2,0.6382560760496008,0.7274566739526644,0.08920059790306367
10,10,1,1,1,0.3,0.6382560760496008,0.7438104278284949,0.10555435177889416
10,10,1,1,1,0.4,0.6382560760496008,0.7077810508252114,0.06952497477561059
10,10,1,1,1,0.5,0.6382560760496008,0.7175531626489693,0.07929708659936852
10,10,1,1,1,0.6,0.6382560760496008,0.7209435960684832,0.08268752001888247
10,10,1,1,1,0.7,0.6382560760496008,0.7256132478132125,0.08735717176361169
10,10,1,1,1,0.8,0.6382560760496008,0.7250254537718257,0.08676937772222493
10,10,1,1,1,0.9,0.6382560760496008,0.7509592672273016,0.11270319117770078
